combo_id,module,task,model,device,dataset,fe_preset,outcome,exit_code,wall_seconds,artifact_training_base,artifact_training_quantization,error_signature
generic_timeseries_anomalydetection__AD_Linear,timeseries,generic_timeseries_anomalydetection,AD_Linear,F280013,generic_timeseries_anomalydetection,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-30k66y93/proj/dataset
generic_timeseries_anomalydetection__Ondevice_Trainable_AD_Linear,timeseries,generic_timeseries_anomalydetection,Ondevice_Trainable_AD_Linear,F280013,generic_timeseries_anomalydetection,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-yy0uhnqs/proj/dataset
generic_timeseries_classification__CLS_1.2k_NPU,timeseries,generic_timeseries_classification,CLS_1.2k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,382.5,True,True,
generic_timeseries_classification__CLS_1.5k_NPU,timeseries,generic_timeseries_classification,CLS_1.5k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,355.4,True,True,
generic_timeseries_classification__CLS_1.9k_NPU,timeseries,generic_timeseries_classification,CLS_1.9k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,391.7,True,True,
generic_timeseries_classification__CLS_100_NPU,timeseries,generic_timeseries_classification,CLS_100_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,354.0,True,True,
generic_timeseries_classification__CLS_13k_NPU,timeseries,generic_timeseries_classification,CLS_13k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,385.8,True,True,
generic_timeseries_classification__CLS_1k_NPU,timeseries,generic_timeseries_classification,CLS_1k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,362.0,True,True,
generic_timeseries_classification__CLS_2.8k_NPU,timeseries,generic_timeseries_classification,CLS_2.8k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,346.0,True,True,
generic_timeseries_classification__CLS_20k_NPU,timeseries,generic_timeseries_classification,CLS_20k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,558.6,True,True,
generic_timeseries_classification__CLS_2k_NPU,timeseries,generic_timeseries_classification,CLS_2k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,393.1,True,True,
generic_timeseries_classification__CLS_3.1k_NPU,timeseries,generic_timeseries_classification,CLS_3.1k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,356.9,True,True,
generic_timeseries_classification__CLS_3.9k_NPU,timeseries,generic_timeseries_classification,CLS_3.9k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,353.9,True,True,
generic_timeseries_classification__CLS_4.2k_NPU,timeseries,generic_timeseries_classification,CLS_4.2k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,354.2,True,True,
generic_timeseries_classification__CLS_40k_NPU,timeseries,generic_timeseries_classification,CLS_40k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,677.5,True,True,
generic_timeseries_classification__CLS_4k_NPU,timeseries,generic_timeseries_classification,CLS_4k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,352.4,True,True,
generic_timeseries_classification__CLS_500_NPU,timeseries,generic_timeseries_classification,CLS_500_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,343.5,True,True,
generic_timeseries_classification__CLS_55k_NPU,timeseries,generic_timeseries_classification,CLS_55k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,400.4,True,True,
generic_timeseries_classification__CLS_5k_NPU,timeseries,generic_timeseries_classification,CLS_5k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,352.7,True,True,
generic_timeseries_classification__CLS_6k_NPU,timeseries,generic_timeseries_classification,CLS_6k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,473.6,True,True,
generic_timeseries_classification__CLS_8k_NPU,timeseries,generic_timeseries_classification,CLS_8k_NPU,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,507.6,True,True,
generic_timeseries_classification__CLS_ResAdd_3k,timeseries,generic_timeseries_classification,CLS_ResAdd_3k,F280015,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,340.2,True,True,
generic_timeseries_classification__CLS_ResCat_3k,timeseries,generic_timeseries_classification,CLS_ResCat_3k,F280013,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,340.7,True,True,
generic_timeseries_classification__ElectricalFault_model_40k_t,timeseries,generic_timeseries_classification,ElectricalFault_model_40k_t,MSPM0G3507,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,671.7,True,True,
generic_timeseries_classification__GearboxFault_model_1.2k_t,timeseries,generic_timeseries_classification,GearboxFault_model_1.2k_t,MSPM0G3507,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,362.7,True,True,
generic_timeseries_classification__GearboxFault_model_1.5k_t,timeseries,generic_timeseries_classification,GearboxFault_model_1.5k_t,MSPM0G3507,generic_timeseries_classification,Generic_256Input_RAW_256Feature_1Frame,PASS-WITH-PRESET,0,343.1,True,True,
generic_timeseries_forecasting__FCST_10k_NPU,timeseries,generic_timeseries_forecasting,FCST_10k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.4,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_13k,timeseries,generic_timeseries_forecasting,FCST_13k,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.3,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_1k_NPU,timeseries,generic_timeseries_forecasting,FCST_1k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.3,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_20k_NPU,timeseries,generic_timeseries_forecasting,FCST_20k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.4,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_2k_NPU,timeseries,generic_timeseries_forecasting,FCST_2k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.5,False,False,Exception: Not enough dimensions present. Extract more features
