combo_id,module,task,model,device,dataset,fe_preset,outcome,exit_code,wall_seconds,artifact_training_base,artifact_training_quantization,error_signature
generic_timeseries_regression__REGR_20k_NPU,timeseries,generic_timeseries_regression,REGR_20k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,8.9,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-yegit3bx/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_2k,timeseries,generic_timeseries_regression,REGR_2k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,8.9,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-c0zs77vh/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_2k_NPU,timeseries,generic_timeseries_regression,REGR_2k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,9.1,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-o0b0yv6_/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_3k,timeseries,generic_timeseries_regression,REGR_3k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,8.6,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-t2z7jjd7/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_4k,timeseries,generic_timeseries_regression,REGR_4k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,9.0,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-5y45sg01/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_500_NPU,timeseries,generic_timeseries_regression,REGR_500_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,8.7,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-2ujz7c5i/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_6k_NPU,timeseries,generic_timeseries_regression,REGR_6k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,9.2,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-o4xap_ru/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_8k_NPU,timeseries,generic_timeseries_regression,REGR_8k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,9.4,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-kfs4xeto/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
motor_fault__MotorFault_model_1_t,timeseries,motor_fault,MotorFault_model_1_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,15.3,False,False,"ValueError: Model 'CNN_MF_1L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
motor_fault__MotorFault_model_2_t,timeseries,motor_fault,MotorFault_model_2_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,15.1,False,False,"ValueError: Model 'CNN_MF_2L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
motor_fault__MotorFault_model_3_t,timeseries,motor_fault,MotorFault_model_3_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,15.0,False,False,"ValueError: Model 'CNN_MF_3L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
pir_detection__PIRDetection_model_1_t,timeseries,pir_detection,PIRDetection_model_1_t,CC2755,pir_detection,PIRDetection_125Input_25Feature_25Frame_1InputChannel_2D,TRAIN-FAIL,1,256.9,True,False,"AssertionError: min tensor([nan, nan, nan, nan, nan, nan, nan, nan]) should be less than max tensor([nan, nan, nan, nan, nan, nan, nan, nan])"
audio_classification__DSCNN_NPU,audio,audio_classification,DSCNN_NPU,MSPM0G3507,generic_audio_classification,,TRAIN-FAIL,1,35.6,True,False,FileNotFoundError: [Errno 2] No such file or directory: '/var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-o7wc0mdj/proj/run/base/nas_model.pt'
image_classification__Lenet5,vision,image_classification,Lenet5,MSPM0G3507,mnist_image_classification,,PASS,0,352.3,True,True,
image_classification__MobileNetV1_58k_NPU,vision,image_classification,MobileNetV1_58k_NPU,MSPM0G3507,mnist_image_classification,,TIMEOUT,124,10800.1,True,False,[TIMEOUT]
image_classification__MobileNetV2_58k_NPU,vision,image_classification,MobileNetV2_58k_NPU,MSPM0G3507,mnist_image_classification,,PASS,0,8612.8,True,True,
